NrESKM,Imie,Nazwisko,Plec,Gatunek,NazwiskoPanienskieMatki,ImieMatki,ImieOjca,Data_urodzenia,MiejsceUrodzenia,MiejsceZamieszkania,MiejsceZameldowania,Wyksztalcenie
214925,ALEXANDER,WICHAN,M,ogr,PAZIWOK,ALICJA,SŁAWOMIR,3501.8.8,Komorniki,Leonów,Leonów,brak
231745,MAKSYM,ZIMMERLING,M,ogr,MĄDRZYŃSKI,MIRA,ALAN,3535.2.21,Wygoda,Wygoda,Wygoda,podstawowe
573954,STEFANIA,HRET,K,hobbit,KANKA,ARIANNA,GNIEWKO,3515.2.14,Posadowo,Posadowo,Posadowo,brak
248813,PATRYK,ŚWIĘTALSKI,M,ogr,CHILCZUK-TROSKOWSKA,AMELIA,OLIVER,3550.7.3,Dolina,Dolina,Dolina,nadludzkie
470542,MAURYCY,HRYTSAYUK,M,ogr,SĘDROWICZ,MAJKA,PAWEŁ,3514.7.3,Aniołów,Aniołów,Aniołów,nadludzkie
818125,KLAUDIUSZ,PANDURANGAN,M,ogr,OCHARSKA,HANA,NATHAN,3515.4.2,Galicja,Galicja,Galicja,brak
460816,TATIANA,CWIKLINSKA,K,ogr,PACHOŁOWSKA,DIANA,OSCAR,3510.10.5,Wymiarki,Wymiarki,Wymiarki,średnie
337330,OLEG,CZACHLA,M,ogr,GURIEW,DALIA,MAKS,3511.6.12,Stryjenszczyzna,Stryjenszczyzna,Stryjenszczyzna,średnie
289571,ALEX,NEDIĆ,M,ogr,GABRYŚ-STEC,ŁUCJA,NIKODEM,3536.7.21,Nowe Bieliny,Przy Szosie,Przy Szosie,średnie
668378,LUCJAN,DZIEMIERZ,M,ogr,NUZZI,JOLANTA,ZIEMOWIT,3522.4.28,Soroczy Mostek,Kłóbska Kolonia,Kłóbska Kolonia,podstawowe
833005,TOBIASZ,WOLLAK,M,ogr,AKSENOW,WERONIKA,BRAYAN,3522.3.20,Płociczno,Płociczno,Płociczno,podstawowe
986824,MALINA,SZKAPICZ,K,ogr,STOLAK,KAJA,GABRIEL,3515.6.4,Osada,Teprówka,Teprówka,średnie
960601,ROZALIA,MILEVA,K,ogr,GALENDA,INGA,MIESZKO,3517.1.19,Trzcianki,Chmielarzówka,Chmielarzówka,nadludzkie
311548,EMANUEL,MANZI,M,krasnal,OSTALAK,MAŁGORZATA,MAURYCY,3535.3.20,Obszar,Obszar,Obszar,średnie
528208,KLAUDIA,CHYŻY,K,ogr,KALOKAJTYS,JANA,DAWID,3538.2.25,Za Górą,Za Górą,Za Górą,wyższe
